Time,Temperature,Illuminance,Humidity
2021/11/01 0:00,19.566,1,43.171
2021/11/01 0:00,19.539,1,43.185
2021/11/01 0:00,19.496,2,43.171
2021/11/01 0:00,19.539,4,43.171
2021/11/01 0:00,19.51,2,43.198
2021/11/01 0:00,19.496,4,43.211
2021/11/01 0:00,19.496,3,43.262
2021/11/01 0:00,19.483,4,43.29
2021/11/01 0:00,19.483,3,43.233
2021/11/01 0:00,19.44,9,43.233
2021/11/01 0:00,19.467,1,43.203
2021/11/01 0:00,19.467,1,43.258
2021/11/01 0:00,19.467,3,43.23
2021/11/01 0:00,19.44,2,43.258
2021/11/01 0:00,19.44,78,43.249
2021/11/01 0:00,19.44,3,43.27
2021/11/01 0:00,19.424,2,43.258
2021/11/01 0:00,19.408,5,43.244
2021/11/01 0:00,19.44,6,43.229
2021/11/01 0:00,19.408,6,43.265
2021/11/01 0:00,19.408,1,43.256
2021/11/01 0:00,19.382,1,43.311
2021/11/01 0:00,19.408,1,43.252
2021/11/01 0:00,19.395,1,43.238
2021/11/01 0:00,19.382,1,43.265
2021/11/01 0:00,19.368,1,43.265
2021/11/01 0:00,19.368,1,43.288
2021/11/01 0:00,19.368,1,43.238
2021/11/01 0:00,19.368,1,43.249
2021/11/01 0:00,19.339,1,43.29
2021/11/01 0:00,19.339,1,43.235
2021/11/01 0:00,19.326,1,43.261
2021/11/01 0:00,19.312,1,43.235
2021/11/01 0:00,19.326,2,43.275
2021/11/01 0:00,19.312,1,43.276
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.312,75,43.258
2021/11/01 0:00,19.283,1,43.281
2021/11/01 0:00,19.283,1,43.27
2021/11/01 0:00,19.269,1,43.258
2021/11/01 0:00,19.269,1,43.256
2021/11/01 0:00,19.269,1,43.267
2021/11/01 0:00,19.256,1,43.27
2021/11/01 0:00,19.269,1,43.267
2021/11/01 0:00,19.256,1,43.27
2021/11/01 0:00,19.256,1,43.239
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:00,19.283,1,43.294
2021/11/01 0:01,19.283,1,43.294
2021/11/01 0:01,19.171,1,43.244
2021/11/01 0:01,19.171,1,43.297
2021/11/01 0:01,19.157,2,43.272
2021/11/01 0:01,19.171,6,43.285
2021/11/01 0:01,19.157,2,43.339
2021/11/01 0:01,19.115,1,43.297
2021/11/01 0:01,19.128,1,43.297
2021/11/01 0:01,19.141,1,43.281
2021/11/01 0:01,19.128,2,43.339
2021/11/01 0:01,19.141,2,43.325
2021/11/01 0:01,19.115,1,43.308
2021/11/01 0:01,19.115,1,43.349
2021/11/01 0:01,19.128,1,43.265
2021/11/01 0:01,19.128,1,43.308
2021/11/01 0:01,19.101,1,43.322
2021/11/01 0:01,19.101,1,43.32
2021/11/01 0:01,19.101,75,43.308
2021/11/01 0:01,19.085,2,43.308
2021/11/01 0:01,19.101,4,43.331
2021/11/01 0:01,19.115,5,43.267
2021/11/01 0:01,19.101,1,43.281
2021/11/01 0:01,19.101,5,43.281
2021/11/01 0:01,19.101,2,43.331
2021/11/01 0:01,19.085,3,43.304
2021/11/01 0:01,19.072,5,43.262
2021/11/01 0:01,19.072,2,43.275
2021/11/01 0:01,19.059,1,43.235
2021/11/01 0:01,19.029,1,43.252
2021/11/01 0:01,19.059,2,43.261
2021/11/01 0:01,19.072,1,43.247
2021/11/01 0:01,19.029,1,43.258
2021/11/01 0:01,19.045,1,43.206
2021/11/01 0:01,19.002,2,43.23
2021/11/01 0:01,19.029,1,43.229
2021/11/01 0:01,19.016,2,43.244
2021/11/01 0:01,19.016,75,43.285
2021/11/01 0:01,19.002,1,43.284
2021/11/01 0:01,19.002,1,43.243
2021/11/01 0:01,19.002,2,43.272
2021/11/01 0:01,18.973,2,43.284
2021/11/01 0:01,19.002,3,43.27
2021/11/01 0:01,18.973,4,43.224
2021/11/01 0:01,18.973,3,43.253
2021/11/01 0:01,18.946,4,43.293
2021/11/01 0:01,18.973,5,43.307
2021/11/01 0:01,18.96,5,43.317
2021/11/01 0:01,18.96,4,43.293
2021/11/01 0:01,18.946,7,43.307
2021/11/01 0:01,18.93,5,43.265
2021/11/01 0:01,18.93,4,43.238
2021/11/01 0:01,18.93,4,43.238
2021/11/01 0:01,18.93,4,43.238
2021/11/01 0:01,18.93,4,43.238
2021/11/01 0:01,18.93,4,43.238
2021/11/01 0:01,18.93,2,43.261
2021/11/01 0:01,18.917,2,43.244
2021/11/01 0:01,18.89,75,43.302
2021/11/01 0:02,18.874,3,43.302
2021/11/01 0:02,18.874,3,43.299
2021/11/01 0:02,18.861,3,43.339
2021/11/01 0:02,18.861,3,43.339
2021/11/01 0:02,18.874,2,43.311
2021/11/01 0:02,18.861,1,43.311
2021/11/01 0:02,18.848,2,43.285
2021/11/01 0:02,18.848,2,43.285
2021/11/01 0:02,18.861,2,43.336
2021/11/01 0:02,18.834,2,43.322
2021/11/01 0:02,18.861,2,43.336
2021/11/01 0:02,18.848,2,43.336
2021/11/01 0:02,18.861,2,43.308
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.848,2,43.322
2021/11/01 0:02,18.775,5,43.262
2021/11/01 0:02,18.775,5,43.262
2021/11/01 0:02,18.733,5,43.272
2021/11/01 0:02,18.733,2,43.297
2021/11/01 0:02,18.746,4,43.272
2021/11/01 0:02,18.69,7,43.281
2021/11/01 0:02,18.69,7,43.281
2021/11/01 0:02,18.69,7,43.281
2021/11/01 0:02,18.69,7,43.281
2021/11/01 0:02,18.69,7,43.281
2021/11/01 0:02,18.677,2,43.294
2021/11/01 0:02,18.69,5,43.293
2021/11/01 0:02,18.661,6,43.307
2021/11/01 0:02,18.677,5,43.293
2021/11/01 0:02,18.677,7,43.293
2021/11/01 0:02,18.69,2,43.32
2021/11/01 0:02,18.647,7,43.345
2021/11/01 0:02,18.647,2,43.276
2021/11/01 0:02,18.647,79,43.304
2021/11/01 0:02,18.661,6,43.302
2021/11/01 0:02,18.647,3,43.265
2021/11/01 0:02,18.621,5,43.249
2021/11/01 0:02,18.647,2,43.302
2021/11/01 0:02,18.621,5,43.316
2021/11/01 0:02,18.634,8,43.343
2021/11/01 0:02,18.621,2,43.33
2021/11/01 0:02,18.621,8,43.302
2021/11/01 0:02,18.605,6,43.313
2021/11/01 0:02,18.605,5,43.297
2021/11/01 0:02,18.605,6,43.326
2021/11/01 0:02,18.591,4,43.297
2021/11/01 0:02,18.578,4,43.308
2021/11/01 0:02,18.565,6,43.281
2021/11/01 0:02,18.565,9,43.307
2021/11/01 0:02,18.548,10,43.334
2021/11/01 0:02,18.548,8,43.32
2021/11/01 0:02,18.535,10,43.281
2021/11/01 0:03,18.565,12,43.307
2021/11/01 0:03,18.548,10,43.238
2021/11/01 0:03,18.535,87,43.293
2021/11/01 0:03,18.508,15,43.276
2021/11/01 0:03,18.508,13,43.238
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.508,5,43.288
2021/11/01 0:03,18.354,3,43.235
2021/11/01 0:03,18.367,3,43.235
2021/11/01 0:03,18.324,3,43.247
2021/11/01 0:03,18.297,4,43.244
2021/11/01 0:03,18.297,4,43.284
2021/11/01 0:03,18.324,4,43.243
2021/11/01 0:03,18.297,6,43.272
2021/11/01 0:03,18.268,9,43.311
2021/11/01 0:03,18.281,99,43.322
2021/11/01 0:03,18.281,43,43.284
2021/11/01 0:03,18.268,25,43.308
2021/11/01 0:03,18.281,42,43.349
2021/11/01 0:03,18.268,10,43.32
2021/11/01 0:03,18.268,5,43.334
2021/11/01 0:03,18.255,3,43.334
2021/11/01 0:03,18.255,3,43.334
2021/11/01 0:03,18.255,4,43.359
2021/11/01 0:03,18.255,4,43.362
2021/11/01 0:03,18.241,4,43.398
2021/11/01 0:03,18.241,4,43.398
2021/11/01 0:03,18.225,3,43.427
2021/11/01 0:03,18.225,4,43.4
2021/11/01 0:03,18.225,4,43.4
2021/11/01 0:03,18.212,6,43.464
2021/11/01 0:03,18.196,6,43.423
2021/11/01 0:03,18.196,6,43.423
2021/11/01 0:03,18.212,6,43.426
2021/11/01 0:03,18.225,77,43.45
2021/11/01 0:03,18.241,4,43.398
2021/11/01 0:03,18.196,7,43.439
2021/11/01 0:03,18.167,4,43.464
2021/11/01 0:03,18.183,3,43.464
2021/11/01 0:03,18.196,2,43.436
2021/11/01 0:03,18.183,3,43.436
2021/11/01 0:03,18.183,2,43.394
2021/11/01 0:03,18.196,3,43.435
2021/11/01 0:03,18.196,10,43.421
2021/11/01 0:03,18.196,8,43.409
2021/11/01 0:03,18.183,9,43.476
2021/11/01 0:03,18.167,10,43.436
2021/11/01 0:03,18.153,3,43.394
2021/11/01 0:03,18.183,8,43.445
2021/11/01 0:03,18.14,5,43.459
2021/11/01 0:04,18.153,17,43.445
2021/11/01 0:04,18.14,13,43.404
2021/11/01 0:04,18.124,20,43.418
2021/11/01 0:04,18.111,44,43.43
2021/11/01 0:04,18.124,2,43.458
2021/11/01 0:04,18.111,97,43.43
2021/11/01 0:04,18.124,34,43.445
